FilePath,RelativePath,Extension,SizeBytes,LineCount,CharCount,CreatedUtc,ModifiedUtc,ReadError,Kind,Namespaces,DeclaredTypes,Routes,RequiresAuth,AzureDevOpsUrl
"FreeCICD.Client/Helpers.cs","FreeCICD.Client/Helpers.cs",".cs",233196,6010,233196,2026-01-02T22:21:30.5242912Z,2026-01-06T23:39:47.8985631Z,"","CSharpSource","FreeCICD.Client","Helpers","",,""
"FreeCICD.DataAccess/DataAccess.Users.cs","FreeCICD.DataAccess/DataAccess.Users.cs",".cs",108162,2558,108162,2026-01-02T22:21:33.2535795Z,2025-12-30T20:33:20.2594950Z,"","CSharpSource","FreeCICD","IDataAccess;DataAccess","",,""
"FreeCICD.DataAccess/DataAccess.Utilities.cs","FreeCICD.DataAccess/DataAccess.Utilities.cs",".cs",81699,2226,81699,2026-01-02T22:21:33.2595885Z,2025-12-30T20:33:20.2655079Z,"","CSharpSource","FreeCICD","IDataAccess;DataAccess","",,""
"FreeCICD.Client/DataModel.cs","FreeCICD.Client/DataModel.cs",".cs",68071,1990,68071,2026-01-02T22:21:30.5017782Z,2025-12-30T20:33:18.4448438Z,"","CSharpSource","FreeCICD.Client","Message;NewMessage;BlazorDataModel;MessageType;TextCase","",,""
"FreeTools/FreeTools.WorkspaceReporter/Program.cs","FreeTools/FreeTools.WorkspaceReporter/Program.cs",".cs",57968,1362,57759,2026-01-02T22:21:38.0691464Z,2026-01-02T20:57:13.5276209Z,"","CSharpSource","FreeTools.WorkspaceReporter","Program;FileEntry;RouteEntry;WorkspaceStats;RouteScreenshots;ScreenshotHealthEntry;ConsolidatedRouteEntry","",,""
"FreeCICD.DataObjects/FreeCICD.App.DataObjects.cs","FreeCICD.DataObjects/FreeCICD.App.DataObjects.cs",".cs",51973,1297,51966,2026-01-02T22:21:33.6208898Z,2026-02-13T19:44:34.6361940Z,"","CSharpSource","FreeCICD","DataObjects;Endpoints;DevOps;PipelineDashboard;Import;StepNameList;EnvSetting;Application;VariableGroupEditState;ApplicationPool;Binding;DevopsVariableGroup;DevopsVariable;BuildDefinition;DeploymentInfo;DevOpsBuild;DevopsFileItem;DevopsGitRepoBranchInfo;DevopsGitRepoInfo;DevopsOrgInfo;DevopsPipelineDefinition;DevopsProjectInfo;FileContentItem;FileItem;FileMetadataItem;GitUpdateResult;IISInfo;IISSummary;PipelineCreationRequest;DevOpsPipelineRequest;Site;SignalrClientRegistration;SignalRConnectionInfo;SignalRClientState;SendAlertRequest;SendAlertResponse;SignalRConnectionsResponse;SignalRHubInfo;TestThing;SignalRUpdate;FilePathRequest;FileContentRequest;BuildStageInfo;BuildJobInfo;StageBubble;BuildTimelineResponse;BuildLogResponse;BuildLogLine;OrgHealthResponse;PipelineHealthTrend;OrgHealthSummary;PipelineVariableGroupRef;PipelineListItem;PipelineStatusSnapshot;PipelineLiveUpdate;PipelineRunInfo;ParsedEnvironmentSettings;ParsedPipelineSettings;PipelineYamlRequest;PipelineYamlResponse;PipelineDashboardResponse;PipelineRunsResponse;ImportConflictInfo;PublicGitRepoInfo;ImportPublicRepoRequest;ImportPublicRepoResponse;UploadZipResponse;TriggerType;ParseConfidence;ImportStatus;ImportConflictMode;ImportMethod","",,""
"FreeCICD.DataAccess/FreeCICD.App.DataAccess.DevOps.Dashboard.cs","FreeCICD.DataAccess/FreeCICD.App.DataAccess.DevOps.Dashboard.cs",".cs",53433,1140,53400,2026-01-02T22:21:33.2941055Z,2026-02-13T19:45:37.6971330Z,"","CSharpSource","FreeCICD","DataAccess","",,""
"FreeCICD.DataAccess/Utilities.cs","FreeCICD.DataAccess/Utilities.cs",".cs",37137,962,37137,2026-01-02T22:21:33.3717939Z,2025-12-30T20:33:20.3377755Z,"","CSharpSource","FreeCICD","Utilities","",,""
"FreeTools/FreeTools.BrowserSnapshot/Program.cs","FreeTools/FreeTools.BrowserSnapshot/Program.cs",".cs",32056,861,32031,2026-01-02T22:21:36.9026230Z,2026-01-02T18:13:15.0670268Z,"","CSharpSource","FreeTools.BrowserSnapshot","Program;RouteInfo;ScreenshotResult;ScreenshotMetadata","",,""
"FreeCICD/Controllers/FreeCICD.App.API.cs","FreeCICD/Controllers/FreeCICD.App.API.cs",".cs",38475,832,38472,2026-01-02T22:21:30.1419549Z,2026-02-13T19:46:38.1453765Z,"","CSharpSource","FreeCICD.Server.Controllers","DataController;ValidateUrlRequest;CheckConflictsRequest","",,""
"FreeCICD.Plugins/Plugins.cs","FreeCICD.Plugins/Plugins.cs",".cs",32890,818,32887,2026-01-02T22:21:34.1961130Z,2025-12-30T20:33:17.7230272Z,"","CSharpSource","Plugins","IPlugins;Plugins;Plugin;PluginExecuteRequest;PluginExecuteResult;PluginPrompt;PluginPromptOption;PluginPromptValue;PluginPromptType","",,""
"FreeCICD.DataAccess/DataAccess.Language.cs","FreeCICD.DataAccess/DataAccess.Language.cs",".cs",45519,751,45519,2026-01-02T22:21:33.1914433Z,2025-12-30T20:33:20.2045055Z,"","CSharpSource","FreeCICD","IDataAccess;DataAccess","",,""
"FreeCICD.EFModels/Migrations/20251210180351_Initial.Designer.cs","FreeCICD.EFModels/Migrations/20251210180351_Initial.Designer.cs",".cs",26001,727,25998,2026-01-02T22:21:34.0312287Z,2025-12-30T20:33:17.6858642Z,"","CSharpSource","FreeCICD.EFModels.Migrations","Initial","",,""
"FreeCICD.EFModels/Migrations/EFDataModelModelSnapshot.cs","FreeCICD.EFModels/Migrations/EFDataModelModelSnapshot.cs",".cs",25911,724,25908,2026-01-02T22:21:34.0392338Z,2025-12-30T20:33:17.6979689Z,"","CSharpSource","FreeCICD.EFModels.Migrations","EFDataModelModelSnapshot","",,""
"FreeCICD.DataAccess/DataAccess.Tenants.cs","FreeCICD.DataAccess/DataAccess.Tenants.cs",".cs",27239,701,27239,2026-01-02T22:21:33.2345077Z,2025-12-30T20:33:20.2414881Z,"","CSharpSource","FreeCICD","IDataAccess;DataAccess","",,""
"FreeCICD.DataObjects/DataObjects.cs","FreeCICD.DataObjects/DataObjects.cs",".cs",25238,648,25238,2026-01-02T22:21:33.5742883Z,2025-12-30T20:33:17.5074166Z,"","CSharpSource","FreeCICD","SensitiveAttribute;DataObjects;ActionResponseObject;ActiveUser;ApplicationSettings;ApplicationSettingsUpdate;Authenticate;AuthenticationProviders;BlazorDataModelLoader;BooleanResponse;ConnectionStringConfig;CustomLoginProvider;DataMigration;DeletedRecordCounts;DeletedRecordItem;DeletedRecords;Dictionary;EmailMessage;ExternalDataSource;FileStorage;Filter;FilterColumn;FilterFileStorage;FilterUsers;Language;ListItem;LoginTenantListing;MailServerConfig;MailServerConfigMicrosoftGraph;MailServerConfigSMTP;MenuItem;ModuleAction;OptionPair;PluginCache;Setting;SimplePost;SimpleResponse;Tenant;TenantList;TenantSettings;Test;User;UserAccount;UserListing;UserPasswordReset;UserPreferences;UserTenant;VersionInfo;WorkSchedule;DeletePreference;SettingType;UserLookupType","",,""
"FreeCICD.DataAccess/DataAccess.FileStorage.cs","FreeCICD.DataAccess/DataAccess.FileStorage.cs",".cs",25069,632,25069,2026-01-02T22:21:33.1784353Z,2025-12-30T20:33:20.1888126Z,"","CSharpSource","FreeCICD","IDataAccess;DataAccess","",,""
"FreeCICD.DataAccess/FreeCICD.App.DataAccess.Import.Operations.cs","FreeCICD.DataAccess/FreeCICD.App.DataAccess.Import.Operations.cs",".cs",28284,617,28277,2026-01-02T22:21:33.3122489Z,2026-01-16T20:59:13.3808579Z,"","CSharpSource","FreeCICD","DataAccess","",,""
"FreeCICD.DataAccess/DataAccess.Settings.cs","FreeCICD.DataAccess/DataAccess.Settings.cs",".cs",25150,604,25150,2026-01-02T22:21:33.2154988Z,2025-12-30T20:33:20.2260088Z,"","CSharpSource","FreeCICD","IDataAccess;DataAccess","",,""
"FreeTools/FreeTools.WorkspaceInventory/Program.cs","FreeTools/FreeTools.WorkspaceInventory/Program.cs",".cs",21544,566,21541,2026-01-02T22:21:37.8746475Z,2026-01-02T18:13:15.1818706Z,"","CSharpSource","FreeTools.WorkspaceInventory","Program;FileInventoryItem","",,""
"FreeCICD.DataAccess/FreeCICD.App.DataAccess.DevOps.Resources.cs","FreeCICD.DataAccess/FreeCICD.App.DataAccess.DevOps.Resources.cs",".cs",25772,561,25769,2026-01-02T22:21:33.3082511Z,2026-01-02T19:05:16.3027899Z,"","CSharpSource","FreeCICD","DataAccess","",,""
"FreeCICD.DataAccess/DataAccess.Departments.cs","FreeCICD.DataAccess/DataAccess.Departments.cs",".cs",22852,526,22852,2026-01-02T22:21:33.1599172Z,2025-12-30T20:33:20.1751484Z,"","CSharpSource","FreeCICD","IDataAccess;DataAccess","",,""
